n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time
0,             1,               0,              1,         1,           0,          0
1,             1,               0,              2,         1,           0,          1
2,             4,               0,              1,         6,           2,          2
3,             7,               0,              1,        13,           5,          2
4,            10,               0,              1,        22,           9,          3
5,            13,               0,              1,        33,          14,          3
6,            16,               0,              1,        46,          20,          4
7,            19,               0,              1,        61,          27,          5
8,            22,               0,              1,        78,          35,          7
9,            25,               0,             10,        97,          44,          7
